2,Community Name,,Used For,Alternate Names/Spellings,Cultural Affiliations,Political Affiliations,Language(s),Treaty/Agreement/Settlement,Band #,Reserve/Settlement Name,Reserve/Settlement Location (NRCan),Source(s),Notes,Vetted by,Vetted date,,,,,,,,,,,,,,,
23,Animbiigoo Zaagi’igan Anishinaabek,,"Lake Nipigon Ojibway First Nation
Animbiigoo Zaagi'igan",,"Anishnabek
Ojibway",Nokiiwin Tribal Council; Waaskiinaysay Ziibi Inc.,English,Robinson-Superior Treaty,194,Lake Nipigon,http://www4.rncan.gc.ca/search-place-names/unique/FZAAG,"http://www.aza.ca/
https://www.first-nations.info/animbiigoo-zaagiigan-nation.html
http://www.firstnation.ca/lake-nipigon-ojibway-animbiigoo-zaagiigan
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=194","Only one reserve (Gull Bay) was created for the “Lake Nipigon Band of Indians” following the signing of the Robinson-Superior Treaty in 1850. It was not until 1921 that our community was recognized by the government of Canada as “Lake Nipigon Various Places.""",Tim Knight,13Dec2018,,,,,,,,,,,,,,,
24,Anishinaabeg of Naongashing First Nation,,"Big Island (Anishnaabeg of Naongashiing)
Big Island First Nation",,"Anishnabek
Ojibway",Independent,"Ojibwemowin
English",Treaty 3,125,"Agency 30
Big Island 31D
Big Island 31E
Big Island 31F
Big Island Mainland 93
Lake of the Woods 31B
Lake of the Woods 31C
Lake of the Woods 31G
Lake of the Woods 31H
Naongashing 31A
Saug-A-Gaw-Sing 1
Shoal Lake 31J","http://www4.rncan.gc.ca/search-place-names/unique/FESXJ
http://www4.rncan.gc.ca/search-place-names/unique/FESXP
http://www4.rncan.gc.ca/search-place-names/unique/FESXQ
http://www4.rncan.gc.ca/search-place-names/unique/FESXR
http://www4.rncan.gc.ca/search-place-names/unique/FESXT
http://www4.rncan.gc.ca/search-place-names/unique/FESZD
http://www4.rncan.gc.ca/search-place-names/unique/FESZE
http://www4.rncan.gc.ca/search-place-names/unique/FESZF
http://www4.rncan.gc.ca/search-place-names/unique/FESZG
http://www4.rncan.gc.ca/search-place-names/unique/FESWE
http://www4.rncan.gc.ca/search-place-names/unique/FESWR
http://www4.rncan.gc.ca/search-place-names/unique/FETBN","http://www.bigisland.ca/node/3
http://www.firstnation.ca/big-island-anishnaabeg-naongashiing
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=125","The Salteaux Ojibway people (ancestors); The Framework Agreement on First Nation Land Management was signed by the Minister of Indian Affairs and Northern Development and 13 First Nations on February 12, 1996.
Geo info added 19Jan2019.","Trina Grover
Tim Knight","5Oct2018
19Jan2019",,,,,,,,,,,,,,,
25,Annapolis Valley First nation,,Annapolis Valley First nation,Kampalijek,Mi'kmaq,Confederacy of Mainland Mi'kmaq,"English
Mi'kmaw",Peace and Friendship Treaties,20,"Annapolis Valley First nation
St. Croix 34","88 km NW of Halifax
46.4 km NW of Halifax","https://www.cbu.ca/indigenous-affairs/unamaki-college/mikmaq-resource-centre/mikmaw-band-councils/mikmaw-bands-in-nova-scotia/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=20 
http://avfn.ca/
https://www.thecanadianencyclopedia.ca/en/article/peace-and-friendship-treaties",,Patricia Knockwood,2019-06-14,,,,,,,,,,,,,,,
26,Arctic Bay,,"ᑐᓄᓂᕈᓯᖅ
 Tununirusiq
 Ipiaryuk","ᐃᒃᐱᐊᕐᔪᒃ
 Ikpiarjuk",Inuit,"Hamlet, Qikiqtaaluk Region, NLCA",North Baffin Inuktitut,Nunavut Land Claim Agreement (NLCA),n/a,,73°02′11″N 085°09′09″W Nunavut,"ICSP Toolkit Community Profiles http://www.buildingnunavut.com/en/communityprofiles/communityprofiles.asp
GN document ""Community_Name""
Wikipedia","Inuktitut name means ""in a pocket."" The form ""Tununirusiq"" appears on the Nunavut Land Claim Agreement settlement map, but the local community uses ""Ikpiarjuk""",Carol Rigby,08Mar2019,,,,,,,,,,,,,,,
27,Ardoch Algonquin First Nation,,"Ardoch Algonquin First Nation
AAFNA",,"Anishnabek
Ojibway
Omàmìwininì","Independent
Non-status",English,Upper Canada Treaties Area 1,n/a,non-reserve community,no NRCan listing,"http://www.aafna.ca/
http://www.firstnation.ca/ardoch-algonquin",,Tim Knight,11Sep2018,,,,,,,,,,,,,,,
28,Aroland,,Aroland First Nation,,"Anishnabek
Ojibway","Nishnawbe-Aski Nation
Matawa First Nations",English,Treaty 9,242,Aroland 83,http://www4.rncan.gc.ca/search-place-names/unique/FESXL,"https://www.arolandfirstnation.ca/
http://www.firstnation.ca/aroland
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=242",,Tim Knight,11Sep2018,,,,,,,,,,,,,,,
29,Arviat,,Eskimo Point,ᐊᕐᕕᐊᑦ,Inuit,"Hamlet, Kivalliq Region, NLCA",Kivalliq Inuktitut,Nunavut Land Claim Agreement (NLCA),n/a,,61°06′29″N 094°03′25″W Nunavut,"ICSP Toolkit Community Profiles http://www.buildingnunavut.com/en/communityprofiles/communityprofiles.asp
GN document ""Community_Name""
Wikipedia","Inuktitut name means ""place of the bowhead whale."" Inuktitut name adopted 1 June 1989.",Carol Rigby,08Mar2019,,,,,,,,,,,,,,,
30,Aseniwuche Winewak Nation of Canada,,Aseniwuche Winewak Nation,,"Woodland Cree
Cree
Iroquois
Beaver
Sekani
Assiniboine
Ojibwa
Shuswap",,"Nêhîyawêwin/ Nehiyawewin (Woodland Cree)
English",,,,,https://www.aseniwuche.ca/,"Jasper National Park, Willmore Wilderness Park, Grand Cache area (Communities: Muskeg Seepee Cooperative, Susa Creek Cooperative, Grande Cache Lake Enterprise (Kamisak Development), Victor Lake Cooperative, Joachim Enterprise, and Wanyandie Cooperative (East and West))",Sharon Farnel,May. 2019,,,,,,,,,,,,,,,
31,Ashcroft,,,T'eqt'aqtn'mux,,,Nłeʔkepmxcin,,685,"105 Mile Post 2
Ashcroft 4
Cheetsum's Farm 1
McLean's Lake 3","http://www4.rncan.gc.ca/search-place-names/unique/JDLGG
http://www4.rncan.gc.ca/search-place-names/unique/JDKZB
http://www4.rncan.gc.ca/search-place-names/unique/JDKZL
http://www4.rncan.gc.ca/search-place-names/unique/JDKZA","http://www.ashcroftband.ca/our-history/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=685",South of Lytton,Morning Star Padilla,16Aug2018,,,,,,,,,,,,,,,
32,Asubpeeschoseewagong First Nation,,,,,,,,,,,http://www.anishinabe-history.com/first-nation/asubpeeschoseewagong.shtml,,,,,,,,,,,,,,,,,,
